2	12	3	0	  0	84
2	16	3	11	 32	84
2	16	3	7	 33	84
2	15	3	3	  4	80
2	12	3	0	  0	80
=====UNKNOWN=====
=====UNKNOWN=====
=====UNKNOWN=====
=====UNKNOWN=====
=====UNKNOWN=====
=====UNKNOWN=====
2	10	3	0	  0	84
2	14	3	6	 16	84
2	11	3	0	  0	88
2	9	3	0	  0	88
2	12	3	0	  0	80
2	13	3	5	 10	80
2	9	3	0	  0	88
2	10	3	0	  0	88
2	13	3	0	  0	96
2	15	3	9	 32	88
2	9	3	0	  0	88
2	14	3	8	 15	84
=====UNKNOWN=====
2	11	3	0	  0	88
=====UNKNOWN=====
2	9	3	0	  0	84
2	12	3	5	  6	84
=====UNKNOWN=====
2	15	3	8	 31	88
2	14	3	6	 15	84
2	13	3	0	  0	84
2	9	3	0	  0	84
=====UNKNOWN=====
2	13	3	7	  2	84
=====UNKNOWN=====
=====UNKNOWN=====
=====UNKNOWN=====
=====UNKNOWN=====
2	11	3	0	  0	80
=====UNKNOWN=====
=====UNKNOWN=====
2	8	3	0	  0	84
2	9	3	0	  0	80
=====UNKNOWN=====
2	9	3	0	  0	80
2	12	3	3	  7	84
=====UNKNOWN=====
=====UNKNOWN=====
=====UNKNOWN=====
1	7	3	1	  2	40
1	13	3	12	 54	40
1	8	3	5	 27	40
1	4	3	0	  0	40
1	15	3	15	 64	40
1	6	3	0	  0	48
=====UNKNOWN=====
1	9	3	8	 28	40
1	5	3	0	  0	52
1	8	3	6	  6	40
1	8	3	6	  8	40
1	5	3	0	  0	44
1	16	3	16	 80	40
1	8	3	6	 20	40
1	6	3	0	  0	40
1	10	3	7	 42	40
1	4	3	0	  0	48
1	7	3	5	 13	40
1	13	3	12	 64	40
1	4	3	0	  0	44
1	8	3	5	  4	40
1	9	3	7	 30	40
=====UNKNOWN=====
1	15	3	15	 68	40
1	12	3	12	 53	40
1	13	3	12	 52	40
1	7	3	0	  0	44
1	12	3	11	 47	40
1	12	3	10	 50	40
1	5	3	0	  0	48
1	7	3	5	 14	40
1	16	3	16	 65	40
1	12	3	11	 50	40
1	14	3	12	 66	40
1	8	3	5	 14	40
1	5	3	0	  0	44
1	10	3	10	 33	40
1	9	3	8	 17	40
1	9	3	9	 22	40
1	14	3	12	 70	40
1	13	3	11	 55	40
1	6	3	0	  0	44
1	13	3	12	 59	40
1	10	3	7	 40	40
1	10	3	9	 37	40
1	4	3	0	  0	44
1	7	3	1	  2	40
1	6	3	0	  0	44
1	10	3	10	 32	40
1	6	3	1	  2	44
