2	9	3	0	  0	88
2	11	3	0	  0	92
2	11	3	0	  0	80
2	11	3	0	  0	84
2	9	3	0	  0	88
2	10	3	0	  0	84
=====UNKNOWN=====
=====UNKNOWN=====
2	9	3	0	  0	84
2	11	3	0	  0	84
2	9	3	0	  0	84
2	11	3	0	  0	84
2	9	3	0	  0	84
2	11	3	0	  0	84
2	12	3	0	  0	84
2	8	3	0	  0	80
2	9	3	0	  0	80
2	8	3	0	  0	84
2	11	3	0	  0	88
2	13	3	7	  6	84
=====UNKNOWN=====
2	15	3	5	 10	80
2	8	3	0	  0	84
2	12	3	0	  0	80
2	10	3	0	  0	80
2	8	3	0	  0	84
2	12	3	5	 12	88
2	12	3	6	 14	84
=====UNKNOWN=====
2	12	3	4	  7	84
2	8	3	0	  0	80
2	8	3	0	  0	80
=====UNKNOWN=====
=====UNKNOWN=====
2	10	3	0	  0	84
2	10	3	0	  0	84
2	10	3	0	  0	92
2	11	3	0	  0	88
2	11	3	0	  0	84
2	11	3	4	  8	84
2	11	3	0	  0	84
2	10	3	0	  0	80
2	8	3	0	  0	84
=====UNKNOWN=====
2	10	3	0	  0	84
2	8	3	0	  0	84
2	9	3	0	  0	84
=====UNKNOWN=====
2	10	3	0	  0	88
2	13	3	2	  5	80
1	9	3	7	 20	40
1	11	3	9	 52	40
1	15	3	14	 63	40
1	12	3	10	 62	40
1	7	3	0	  0	40
1	5	3	0	  0	44
1	6	3	0	  0	44
1	15	3	14	 67	40
1	11	3	8	 53	40
1	4	3	0	  0	44
1	12	3	11	 56	40
1	15	3	14	 71	40
1	5	3	0	  0	40
1	12	3	10	 51	40
1	8	3	5	 14	40
1	4	3	0	  0	44
1	4	3	0	  0	44
1	6	3	0	  0	40
1	10	3	8	 40	40
1	14	3	13	 69	40
1	8	3	5	  9	40
1	14	3	12	 69	40
1	5	3	0	  0	40
1	12	3	11	 52	40
1	11	3	10	 44	40
1	6	3	0	  0	40
1	7	3	0	  0	40
1	6	3	0	  0	40
1	7	3	0	  0	40
1	12	3	11	 52	40
1	15	3	14	 66	40
1	14	3	13	 70	40
1	10	3	9	 38	40
1	9	3	7	 24	40
1	14	3	12	 71	40
1	10	3	9	 33	40
1	6	3	0	  0	40
1	10	3	9	 32	40
1	15	3	13	 72	40
1	4	3	0	  0	44
1	4	3	0	  0	40
1	7	3	0	  0	40
1	4	3	0	  0	44
1	8	3	3	  2	40
1	9	3	8	 37	40
1	11	3	10	 47	40
1	11	3	9	 55	40
1	12	3	11	 53	40
1	14	3	13	 65	40
1	11	3	9	 51	40
