2	12	3	5	344	104
2	16	3	13	357	88
2	16	3	10	625	104
2	15	3	10	469	104
2	12	3	4	234	104
2	15	3	7	168	80
2	16	3	13	618	160
2	15	3	10	425	112
2	14	3	11	491	96
2	14	3			
2	13	3	5	223	88
2	10	3	1	6	88
2	14	3	8	407	96
2	11	3	3	147	96
2	9	3	1	59	88
2	12	3	3	135	80
2	13	3	6	251	104
2	9	3	2	74	136
2	10	3	2	150	80
2	13	3	6	196	88
2	15	3	9	350	120
2	9	3	0	0	88
2	14	3	7	461	128
2	16	3	9	445	96
2	11	3	3	135	104
2	14	3	10	531	120
2	9	3	1	84	144
2	12	3	4	175	96
2	16	3	13	555	96
2	15	3	9	315	96
2	14	3	6	310	96
2	13	3	5	340	112
2	9	3	0	0	96
2	16	3	8	346	104
2	13	3	4	197	104
2	15	3	10	523	176
2	16	3	14	324	88
2	16	3	10	512	120
2	15	3	9	503	136
2	11	3	4	101	104
2	15	3	8	331	88
2	14	3	7	388	88
2	8	3	0	0	120
2	9	3	1	85	80
2	13	3	5	317	96
2	9	3	1	6	88
2	12	3	5	162	96
2	16	3	7	426	104
2	14	3			
2	12	3	3	157	96
1	7	3	1	21	52
1	13	3	9	285	40
1	8	3	3	78	52
1	4	3	0	0	40
1	15	3	12	628	96
1	6	3	0	0	40
1	16	3	14	517	40
1	9	3	5	265	64
1	5	3	0	0	40
1	8	3	4	176	64
1	8	3	3	173	60
1	5	3	0	0	40
1	16	3	13	352	60
1	8	3	2	85	48
1	6	3	0	0	40
1	10	3	5	401	60
1	4	3	0	0	40
1	7	3	2	34	80
1	13	3	10	326	68
1	4	3	0	0	40
1	8	3	3	94	48
1	9	3	5	275	52
1	16	3	15	619	40
1	15	3	12	437	52
1	12	3	9	528	64
1	13	3	10	333	60
1	7	3	0	0	52
1	12	3	9	503	56
1	12	3	7	440	60
1	5	3	0	0	40
1	7	3	0	0	68
1	16	3	14	422	44
1	12	3	9	544	56
1	14	3	11	420	40
1	8	3	2	75	76
1	5	3	0	0	40
1	10	3	7	291	40
1	9	3	4	231	60
1	9	3	4	291	72
1	14	3	11	288	44
1	13	3	9	378	40
1	6	3	0	0	40
1	13	3	9	528	56
1	10	3	5	216	44
1	10	3	5	286	40
1	4	3	0	0	40
1	7	3	0	0	64
1	6	3	0	0	40
1	10	3	6	355	52
1	6	3	0	0	40
