2	12	5	284	120
2	24			
2	21	14	547	88
2	16	13	308	88
2	12	4	212	112
2	10	2	121	80
2	8	0	0	104
2	19	13	586	104
2	11	5	282	168
2	17	13	491	144
2	14	7	330	96
2	16	12	312	104
2	11	4	316	80
2	17	12	326	88
2	13	5	222	96
2	14	10	339	104
2	16	11	397	96
2	18	13	502	152
2	20			
2	17	14	462	112
2	15	10	677	104
2	17	12	512	80
2	12	6	223	88
2	19	16	289	80
2	24			
2	24			
2	23			
2	12	6	374	88
2	9	1	53	80
2	10	2	96	104
2	21			
2	14	7	365	88
2	10	3	103	80
2	15			
2	13	5	174	96
2	21	18	433	88
2	24			
2	18	14	420	80
2	21			
2	18			
2	19			
2	24			
2	22			
2	11	3	185	80
2	16	9	322	80
2	24			
2	14	7	362	88
2	8	0	0	96
2	24			
2	17			
1	11	6	350	52
1	8	3	75	44
1	12	8	513	64
1	4	0	0	40
1	8	3	124	48
1	7	1	12	56
1	12	8	229	72
1	12	8	505	52
1	5	0	0	40
1	5	0	0	40
1	10	5	355	44
1	5	0	0	40
1	11	7	448	44
1	6	0	0	40
1	10	4	266	84
1	7	0	0	68
1	8	2	63	56
1	4	0	0	40
1	11	7	510	84
1	5	0	0	40
1	12	8	575	60
1	8	3	115	68
1	6	0	0	40
1	10	6	358	56
1	5	0	0	40
1	6	0	0	52
1	9	4	208	68
1	12	9	627	76
1	5	0	0	40
1	5	0	0	40
1	10	6	295	44
1	7	0	0	40
1	11	7	346	40
1	5	0	0	40
1	9	5	390	64
1	9	4	321	80
1	4	0	0	40
1	10	6	273	40
1	10	6	452	80
1	8	3	53	88
1	5	0	0	40
1	8	3	73	76
1	11	7	355	56
1	9	4	257	44
1	12	9	569	76
1	10	5	401	80
1	8	2	98	52
1	11	7	364	72
1	12	8	463	44
1	6	0	0	40
